x,y,z,speed
3.159839883610912921e+02,-3.576799695233502803e+02,1.357675002309488566e-03,2.042546452102877197e+01
3.164588352098199380e+02,-3.575233811507803239e+02,1.371317297685778524e-03,2.045881476587059566e+01
3.169328858482296596e+02,-3.573643987194953979e+02,1.387238381711638916e-03,2.049126362495684006e+01
3.174061077591771323e+02,-3.572029662695479146e+02,1.405247815957432140e-03,2.052210517311780436e+01
3.178784632651590982e+02,-3.570390160645364972e+02,1.425163010805269347e-03,2.054764611756479198e+01
3.183499188840900160e+02,-3.568724959593123458e+02,1.446788228016378849e-03,2.057248770410622996e+01
3.188204415202998234e+02,-3.567033577162649749e+02,1.469927064749006933e-03,2.059714182639003610e+01
3.192899944665039698e+02,-3.565315459030114766e+02,1.494388471831806838e-03,2.062179594867384225e+01
3.197585399194148295e+02,-3.563570052940947903e+02,1.519981152880052261e-03,2.064381826952045529e+01
3.202260322673351993e+02,-3.561796634120632916e+02,1.546518172813651825e-03,2.066405225244437460e+01
3.206924358036231411e+02,-3.559994776300558215e+02,1.573801678633400666e-03,2.068219520444960224e+01
3.211577109774730161e+02,-3.558163980442916454e+02,1.601637946089735573e-03,2.069522781852593951e+01
3.216218153841621756e+02,-3.556303706304761363e+02,1.629834430881299968e-03,2.071688219485937310e+01
3.220847043632947475e+02,-3.554413391691675770e+02,1.658198232949854552e-03,2.074469909075274998e+01
3.225463248278254014e+02,-3.552492308537761119e+02,1.686534331078980804e-03,2.077779540021769122e+01
3.230066393932605138e+02,-3.550540143662615833e+02,1.714648035011244595e-03,2.080834595515987218e+01
3.234656008291656235e+02,-3.548556376309190341e+02,1.742345478905186953e-03,2.083889651010204958e+01
3.239231606864214541e+02,-3.546540491942919857e+02,1.769432513364816188e-03,2.086944706504422697e+01
3.243792626773843040e+02,-3.544491836889144452e+02,1.795710342560363380e-03,2.089999761998640793e+01
3.248338562570967269e+02,-3.542409926487064808e+02,1.820982644444742865e-03,2.092876080107015824e+01
3.252868947048421546e+02,-3.540294390588533133e+02,1.845057639267294256e-03,2.095686498640531426e+01
3.257383246705828128e+02,-3.538144746138140135e+02,1.867740416063391317e-03,2.098426427149714257e+01
3.261880907795650728e+02,-3.535960502851511364e+02,1.888835162865562566e-03,2.100962896684207237e+01
3.266361243009808391e+02,-3.533740938569377477e+02,1.908132333002386400e-03,2.103060258370281588e+01
3.270823812071513430e+02,-3.531485869642506259e+02,1.925449470571130540e-03,2.105015596073898010e+01
3.275268034170470628e+02,-3.529194856143145103e+02,1.940591952501391102e-03,2.107000082262100804e+01
3.279693317265727615e+02,-3.526867470797869260e+02,1.953365453329567337e-03,2.108984568450303598e+01
3.284098959306918459e+02,-3.524503116942531165e+02,1.963562510750809127e-03,2.110837123100155566e+01
3.288484372182904281e+02,-3.522101451681477329e+02,1.970991848505532825e-03,2.112551162819427120e+01
3.292848996464661013e+02,-3.519662212400679664e+02,1.975469213245035008e-03,2.114086177764508534e+01
3.297192241985301848e+02,-3.517185106883222261e+02,1.976823932651279505e-03,2.115216927452161499e+01
3.301514007499401941e+02,-3.514670710060761962e+02,1.975131942741974091e-03,2.116123672128199829e+01
3.305814429384919890e+02,-3.512119979134357663e+02,1.970622805764282552e-03,2.116854743541516370e+01
3.310093976707956926e+02,-3.509534378010907290e+02,1.963568806563678430e-03,2.119678069228917039e+01
3.314352984393690917e+02,-3.506915080581398456e+02,1.954219406636681887e-03,2.122535602947677802e+01
3.318591810656648704e+02,-3.504263245611217030e+02,1.942823630983526052e-03,2.125381974873808844e+01
3.322810774355623380e+02,-3.501579920660657308e+02,1.929625096587176541e-03,2.128178605390140277e+01
3.327010254120834816e+02,-3.498866203196693050e+02,1.914872227067585192e-03,2.130895955058901947e+01
3.331190761296488176e+02,-3.496123347751959614e+02,1.898820563222908264e-03,2.133580727283692369e+01
3.335352734648173509e+02,-3.493352448821065082e+02,1.881716839570036397e-03,2.136248501454818793e+01
3.339496630026941375e+02,-3.490554584700855116e+02,1.863807204945842292e-03,2.138931581486292544e+01
3.343622850106254987e+02,-3.487730717087192716e+02,1.845335960935454069e-03,2.141634627992557682e+01
