x,y,z,speed
-4.535330732719919666e+01,2.442374336355847220e+01,-6.218205143258957084e-04,1.169579066573711223e+01
-4.485331331443605762e+01,2.442129651603651652e+01,-9.753272922389396530e-04,1.181690603807274798e+01
-4.435331949337300728e+01,2.441881080118774250e+01,-1.287199466195608965e-03,1.193788899463404007e+01
-4.385332585352691837e+01,2.441628889492076837e+01,-1.558867206077655179e-03,1.205661688929255781e+01
-4.335333238422771984e+01,2.441373339662460040e+01,-1.791668744577081147e-03,1.217256920629138506e+01
-4.285333907356297090e+01,2.441114704463111451e+01,-1.987101006259934643e-03,1.228668819755917774e+01
-4.235334590931076093e+01,2.440853253905015308e+01,-2.146623849448496633e-03,1.239870780935275363e+01
-4.185335287894464074e+01,2.440589255123126478e+01,-2.271664325888279098e-03,1.250887782314561214e+01
-4.135335996960331073e+01,2.440322973884957847e+01,-2.363628870872629649e-03,1.261727217053000238e+01
-4.085336716815927360e+01,2.440054674155199521e+01,-2.423885991319776022e-03,1.272396469694794874e+01
-4.035337446068805178e+01,2.439784628726055971e+01,-2.453946960938389443e-03,1.282895083567050776e+01
-3.985338183330578943e+01,2.439513104364863949e+01,-2.455236182134143668e-03,1.293235035859548709e+01
-3.935338927189642533e+01,2.439240367761962247e+01,-2.429177475718634002e-03,1.303402928488852730e+01
-3.885339676222678662e+01,2.438966684208627811e+01,-2.377146405465920074e-03,1.313436937798464932e+01
-3.835340428974481597e+01,2.438692322060107998e+01,-2.300589486505040700e-03,1.323333021330444303e+01
-3.785341183982580304e+01,2.438417549002579676e+01,-2.200961888168956326e-03,1.333123729172366723e+01
-3.735341939784797916e+01,2.438142631468769395e+01,-2.079685366526438494e-03,1.342754023366099325e+01
-3.685342694916922568e+01,2.437867835841526443e+01,-1.938181240263993138e-03,1.352254239345024445e+01
-3.635343447905714953e+01,2.437593430504093917e+01,-1.777815527612957745e-03,1.361626016588328270e+01
-3.585344197297651192e+01,2.437319681387616299e+01,-1.600071666343952674e-03,1.370885191316553176e+01
-3.535344941647959871e+01,2.437046854736926704e+01,-1.406370704708587811e-03,1.380030829426631378e+01
-3.485345679526643892e+01,2.436775216787090059e+01,-1.198132480811526851e-03,1.389072150502982517e+01
-3.435346409512660415e+01,2.436505035630262483e+01,-9.767637425618811917e-04,1.397988297110086542e+01
-3.385347130203445687e+01,2.436236580292010245e+01,-7.436779840820457663e-04,1.406787964610176367e+01
-3.335347840255749929e+01,2.435970113894759947e+01,-5.003216638304594293e-04,1.415483409314763286e+01
-3.285348538341511215e+01,2.435705902613667817e+01,-2.481136071422527611e-04,1.424111267315202234e+01
-3.235349223168643817e+01,2.435444212622734028e+01,1.152753869794769968e-05,1.432608232559219275e+01
-3.185349893450998948e+01,2.435185316752717100e+01,2.771933444031975981e-04,1.440998246907235902e+01
-3.135350547993586900e+01,2.434929478977115380e+01,5.474525609389819256e-04,1.449303410319086360e+01
-3.085351185652533346e+01,2.434676962709389869e+01,8.208809118418204350e-04,1.457521305878028528e+01
-3.035351805322331842e+01,2.434428034172844235e+01,1.096060180766287185e-03,1.465641808876457830e+01
-2.985352405953199550e+01,2.434182959901702858e+01,1.371572110723797040e-03,1.473671607116948401e+01
-2.935352986494232397e+01,2.433942019551391667e+01,1.645990721848351879e-03,1.481616576083085945e+01
-2.885353546083853971e+01,2.433705467431330760e+01,1.917896901056232329e-03,1.489483423389584260e+01
-2.835354083871028052e+01,2.433473569901367384e+01,2.185872397789333753e-03,1.497261940046675655e+01
-2.785354599078798188e+01,2.433246593368552979e+01,2.448498881679977632e-03,1.504944659854863431e+01
-2.735355090981217430e+01,2.433024810524807080e+01,2.704348566783610144e-03,1.512551099879408412e+01
-2.685355558938532639e+01,2.432808493907546676e+01,2.951989550089731493e-03,1.520088986726558034e+01
-2.635356002469838899e+01,2.432597899509674733e+01,3.190016940840229454e-03,1.527552480766245679e+01
-2.585356421137852578e+01,2.432393293983016491e+01,3.417011796929517349e-03,1.534920040058981527e+01
-2.535356814600696396e+01,2.432194944053223651e+01,3.631554954318797976e-03,1.542204719220242382e+01
-2.485357182558489342e+01,2.432003131815643826e+01,3.832192588255691010e-03,1.549426314529924120e+01
-2.435357524906399718e+01,2.431818116671991348e+01,4.017517505059703224e-03,1.556625859693388669e+01
-2.385357841639333287e+01,2.431640159481086982e+01,4.186122722324649333e-03,1.563720189537396621e+01
-2.335358132840900680e+01,2.431469527320872714e+01,4.336587890007353660e-03,1.570733853956777004e+01
-2.285358398705992755e+01,2.431306489134053450e+01,4.467487584119875753e-03,1.577687147180102833e+01
-2.235358639489662380e+01,2.431151334499223893e+01,4.577338746426246573e-03,1.584573052684444328e+01
-2.185358856321353116e+01,2.431004099765954507e+01,4.665286632408166892e-03,1.591401112222075476e+01
-2.135359052017796699e+01,2.430864223442869587e+01,4.731931616262038780e-03,1.598156762715912471e+01
-2.085359229466194364e+01,2.430731026581419485e+01,4.778160483706312897e-03,1.604843630102728369e+01
-2.035359391262772633e+01,2.430603837944936529e+01,4.804832748832252483e-03,1.611499216232557075e+01
-1.985359539785720528e+01,2.430481976628135499e+01,4.812834689958732717e-03,1.618062354277577342e+01
-1.935359677215998886e+01,2.430364752793883909e+01,4.803087902929320009e-03,1.624551274774570686e+01
-1.885359805518906029e+01,2.430251486933633842e+01,4.776480145189792963e-03,1.630993581657299529e+01
-1.835359926498833261e+01,2.430141499422650142e+01,4.733899385113332463e-03,1.637435888540028373e+01
-1.785360041815306076e+01,2.430034115956970453e+01,4.676193846172066806e-03,1.643778917205771961e+01
